reservation_status,reservation_status_date,Booking_id
Check-Out,20-07-2015,9b75a61b
Check-Out,20-07-2015,f1da73a1
Check-Out,20-07-2015,8621b7a9
Check-Out,20-07-2015,7abe8e54
Check-Out,20-07-2015,dfffdd56
Check-Out,21-07-2015,3fc1bc57
Canceled,23-05-2015,20f1052a
Check-Out,23-07-2015,7d4c487d
Canceled,29-06-2015,eccc935f
Check-Out,24-07-2015,0b69c358
Canceled,19-06-2015,24ff5d2c
Canceled,17-06-2015,9fbb29c6
Check-Out,26-07-2015,612ce3da
Canceled,27-05-2015,10b65153
Check-Out,26-07-2015,85db78f3
Canceled,17-06-2015,99950627
Check-Out,26-07-2015,1219ba82
Canceled,19-06-2015,4ccdeb3a
Check-Out,26-07-2015,4394a12a
Check-Out,25-07-2015,b25cf0cf
Canceled,29-06-2015,1acffb22
Canceled,02-07-2015,0e23d762
Check-Out,26-07-2015,3916203c
Check-Out,26-07-2015,7a4c4285
Canceled,14-07-2015,9cd96b6e
Check-Out,29-07-2015,1e3bbc6a
Check-Out,02-08-2015,b7eade5d
Check-Out,25-07-2015,cc457d97
Check-Out,21-07-2015,fe81fc47
Canceled,13-05-2015,6c4179ca
Check-Out,20-07-2015,6612bb4b
Check-Out,20-07-2015,a98dba08
Check-Out,24-07-2015,57308638
Check-Out,24-07-2015,aff77357
Check-Out,24-07-2015,6744b3df
Check-Out,24-07-2015,3390cd12
Canceled,15-06-2015,a889f7eb
Check-Out,24-07-2015,8187049d
Canceled,15-06-2015,9a7a9ccc
Canceled,17-06-2015,c97cbb14
Check-Out,25-07-2015,eb208256
Canceled,08-06-2015,365dbdbe
Canceled,22-06-2015,15f10f91
Check-Out,26-07-2015,d1f1ccf6
Canceled,22-06-2015,dd8a8ab0
Check-Out,27-07-2015,bb0dd675
Canceled,20-07-2015,e146c2a5
Check-Out,27-07-2015,bdca8438
Check-Out,27-07-2015,e2dffbf2
Check-Out,27-07-2015,71f039d9
Check-Out,27-07-2015,699d3977
Canceled,11-05-2015,f4c5e3cb
Canceled,23-04-2015,d740179a
Check-Out,27-07-2015,5d221c52
Canceled,02-06-2015,b125887c
Canceled,01-06-2015,371c664b
Check-Out,30-07-2015,c3d74616
Check-Out,30-07-2015,1212cfa2
Check-Out,30-07-2015,28ddece4
Canceled,14-07-2015,53ef8d0e
Canceled,14-07-2015,591a7e4b
Canceled,08-07-2015,ea23482f
Check-Out,23-07-2015,2deb4000
Canceled,01-06-2015,3921d008
Canceled,19-06-2015,735016df
Check-Out,25-07-2015,dd388313
Check-Out,26-07-2015,eca59251
Check-Out,27-07-2015,63ddb28b
Check-Out,28-07-2015,442c1ac8
Check-Out,28-07-2015,187d28f3
Check-Out,29-07-2015,e8567916
Check-Out,30-07-2015,b1d659cd
Check-Out,31-07-2015,b70cfd02
Check-Out,23-07-2015,5b76c421
Canceled,22-04-2015,0f0815ae
Canceled,09-06-2015,3373bd91
Check-Out,26-07-2015,16544b03
Canceled,09-06-2015,d9cab49b
Canceled,09-06-2015,fd160dce
Canceled,29-06-2015,8f09700c
Check-Out,23-07-2015,2c6c50be
Check-Out,23-07-2015,f7c3b1f9
Check-Out,24-07-2015,ad9d5620
Check-Out,24-07-2015,dcca8dff
Canceled,05-06-2015,4239f9f6
Check-Out,26-07-2015,b3ff4abc
Canceled,07-07-2015,7b0c43b6
Canceled,19-06-2015,55951371
Check-Out,26-07-2015,a0cabfd2
Canceled,06-07-2015,871a7381
Canceled,07-07-2015,b70b44eb
Check-Out,28-07-2015,ea2c4bd2
Canceled,04-07-2015,f1659d24
Canceled,06-07-2015,8cca5aa2
Check-Out,31-07-2015,d28e36f5
Check-Out,26-07-2015,45a87be3
Check-Out,26-07-2015,f30e1b81
Canceled,22-07-2015,3aba7b8e
Check-Out,26-07-2015,5c8f70c1
Check-Out,26-07-2015,bf54ef43
Check-Out,26-07-2015,f5dcf532
Check-Out,26-07-2015,8923817
Check-Out,26-07-2015,a6138d1d
Canceled,14-07-2015,03c1cd9d
Check-Out,26-07-2015,82d34a7d
Check-Out,26-07-2015,1043cdf6
Canceled,06-07-2015,fb51ba4c
Canceled,01-07-2015,7c378bd9
Check-Out,27-07-2015,05a4b7cf
Canceled,06-07-2015,046db715
Check-Out,26-07-2015,bfb401ab
Canceled,17-06-2015,0ca01708
Canceled,18-06-2015,1885c827
Check-Out,28-07-2015,153d8a2c
Canceled,08-06-2015,12648320
Check-Out,28-07-2015,8a546737
Check-Out,29-07-2015,d30d0c4a
Check-Out,29-07-2015,508c1791
Check-Out,31-07-2015,d9d46bd7
Canceled,14-07-2015,6ae99bc1
Canceled,22-04-2015,ae2bf203
Canceled,25-05-2015,ce7ec4d0
Check-Out,01-08-2015,9eac7d3f
Check-Out,02-08-2015,4df35aac
Check-Out,03-08-2015,741d7b27
Canceled,26-06-2015,757b9e43
Canceled,21-07-2015,5c78431b
Check-Out,25-07-2015,38bd6adb
Check-Out,28-07-2015,6ef0c634
Check-Out,26-07-2015,20070bc1
Check-Out,26-07-2015,1e9b23a8
Check-Out,26-07-2015,112b0315
Canceled,11-07-2015,2302974e
Check-Out,27-07-2015,da51b570
Canceled,14-07-2015,da3b28bb
Canceled,10-07-2015,b81a6e41
Canceled,23-07-2015,75935da1
Check-Out,27-07-2015,c5f695e3
Check-Out,28-07-2015,f4a3a7b7
Check-Out,29-07-2015,52832b1e
Check-Out,30-07-2015,4fd3b8c3
Check-Out,30-07-2015,f59e6d3a
Check-Out,30-07-2015,ebaf6c95
Canceled,26-06-2015,bb355beb
Check-Out,30-07-2015,330133c1
Check-Out,30-07-2015,a613832d
Check-Out,31-07-2015,f2373409
Canceled,02-06-2015,0acb1aab
Check-Out,01-08-2015,af041ba3
Check-Out,01-08-2015,3b949a96
Canceled,27-06-2015,b53a52e8
Canceled,12-05-2015,36740910
Canceled,17-04-2015,b4257a8e
Check-Out,01-08-2015,8a75bff7
Check-Out,01-08-2015,ea3464ca
Check-Out,01-08-2015,8c788e24
Canceled,03-07-2015,70d37f19
Check-Out,02-08-2015,29974f4a
Check-Out,02-08-2015,d793c617
Canceled,29-06-2015,a7261f28
Canceled,15-04-2015,8a2b0ce5
Canceled,29-06-2015,51399c19
Check-Out,04-08-2015,4ff05d23
Check-Out,06-08-2015,54f36bc3
Canceled,03-07-2015,f9af2e54
Check-Out,01-08-2015,d922666f
Canceled,25-03-2015,33ad9ffd
Check-Out,01-08-2015,039c3fd6
Canceled,08-06-2015,06d3ab44
Canceled,15-05-2015,f8389e20
Canceled,18-06-2015,c2ab8f73
Check-Out,29-07-2015,dd08d7b2
Check-Out,29-07-2015,420acd20
Canceled,03-06-2015,2c56c4d0
Canceled,25-06-2015,f259ec45
Check-Out,31-07-2015,a82c1fba
Canceled,03-06-2015,e1efe967
Canceled,25-06-2015,ae3d772d
Check-Out,02-08-2015,2d7f304a
Check-Out,28-07-2015,47e7addc
Check-Out,02-08-2015,2b6ce304
Canceled,17-06-2015,16461f16
Canceled,17-06-2015,42934172
Check-Out,02-08-2015,7dd140d6
Check-Out,27-07-2015,96ad6d55
Canceled,03-07-2015,2ad7366f
Check-Out,29-07-2015,d19ce1bb
Canceled,03-07-2015,c5a9ae2a
